motif_id	gene_id	TF_description	motif_family	ath_gene_id	ath_alias
M00153	Solyc01g007760.3	Transcription factor E2FA (AHRD V3.3 *** A0A2G2XS87_CAPBA)	E2F	AT2G36010	ATE2FA
M00153	Solyc04g081350.3	Transcription factor E2FC (AHRD V3.3 *** M5BC45_TOBAC)	E2F	AT1G47870	ATE2F2
M00153	Solyc11g068800.2	Transcription factor E2FB (AHRD V3.3 *** A0A2G2YH44_CAPAN)	E2F	AT5G22220	ATE2FB
M00154	Solyc01g007760.3	Transcription factor E2FA (AHRD V3.3 *** A0A2G2XS87_CAPBA)	E2F	AT2G36010	ATE2FA
M00154	Solyc04g081350.3	Transcription factor E2FC (AHRD V3.3 *** M5BC45_TOBAC)	E2F	AT1G47870	ATE2F2
M00154	Solyc11g068800.2	Transcription factor E2FB (AHRD V3.3 *** A0A2G2YH44_CAPAN)	E2F	AT5G22220	ATE2FB
M00662	Solyc01g007760.3	Transcription factor E2FA (AHRD V3.3 *** A0A2G2XS87_CAPBA)	E2F	AT2G36010	ATE2FA
M00662	Solyc04g081350.3	Transcription factor E2FC (AHRD V3.3 *** M5BC45_TOBAC)	E2F	AT1G47870	ATE2F2
M00662	Solyc11g068800.2	Transcription factor E2FB (AHRD V3.3 *** A0A2G2YH44_CAPAN)	E2F	AT5G22220	ATE2FB
M00717	Solyc01g108240.3	Ethylene Response Factor D.3	AP2	AT4G34410	RRTF1
M00717	Solyc02g090770.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3A6X8_CAPAN)	AP2	AT5G50080	ERF110
M00717	Solyc02g090790.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3D8S0_CAPCH)	AP2	AT4G34410	RRTF1
M00717	Solyc03g118190.4	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3CZ32_CAPCH)	AP2	AT5G61890	AT5G61890
M00717	Solyc04g012050.3	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2XAK1_CAPBA)	AP2	AT5G64750	ABR1
M00717	Solyc04g051360.3	Ethylene Response Factor D.1	AP2	AT5G64750	ABR1
M00717	Solyc04g071770.3	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8GDL3_CAPAN)	AP2	AT5G50080	ERF110
M00717	Solyc06g068830.2	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8HB76_CAPAN)	AP2	AT5G61890	AT5G61890
M00717	Solyc10g050970.1	Ethylene Response Factor D.4	AP2	AT4G34410	RRTF1
M00717	Solyc12g042210.2	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3B398_CAPCH)	AP2	AT5G61890	AT5G61890
M00717	Solyc12g056590.2	Ethylene Response Factor D.2	AP2	AT5G50080	ERF110
M00718	Solyc05g051200.1	ethylene-responsive factor 1	AP2	AT3G23240	ATERF1
M00718	Solyc02g077370.1	Ethylene Response Factor  C.5	AP2	AT3G23240	ATERF1
M00718	Solyc03g005500.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8GJ51_CAPAN)	AP2	AT1G04370	ATERF14
M00718	Solyc03g005520.1	Ethylene-responsive transcription factor 1B (AHRD V3.3 *** A0A2G2WWE4_CAPBA)	AP2	AT3G23240	ATERF1
M00718	Solyc03g006320.1	Ethylene-responsive transcription factor 4 (AHRD V3.3 *-* A0A2G2VSG2_CAPBA)	AP2	AT3G15210	ATERF-4
M00718	Solyc03g093610.1	ethylene response factor A.2	AP2	AT4G17500	ATERF-1
M00718	Solyc04g014530.1	Ethylene Response Factor C.2	AP2	AT3G23240	ATERF1
M00718	Solyc05g051180.3	Ethylene-responsive transcription factor 1B (AHRD V3.3 *-* A0A2G2ZIK8_CAPAN)	AP2	AT3G23240	ATERF1
M00718	Solyc05g052050.1	DNA-binding protein Pti4	AP2	AT4G17500	ATERF-1
M00718	Solyc09g066360.1	Ethylene Response Factor C.3	AP2	AT3G23240	ATERF1
M00718	Solyc09g089920.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2W1A3_CAPBA)	AP2	AT3G23230	AtERF98
M00718	Solyc09g089930.3	ethylene responsive factor E.2	AP2	AT3G23240	ATERF1
M00718	Solyc11g006050.1	Ethylene-responsive transcription factor (AHRD V3.3 *** F1DGA5_COFAR)	AP2	AT3G23240	ATERF1
M00718	Solyc11g011740.1	Ethylene-responsive transcription factor (AHRD V3.3 *** F1DGA5_COFAR)	AP2	AT3G23240	ATERF1
M00718	Solyc11g011750.1	Ethylene-responsive transcription factor 1B (AHRD V3.3 *** A0A2G2Y507_CAPAN)	AP2	AT3G23240	ATERF1
M00718	Solyc12g049560.2	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2ZB67_CAPAN)	AP2	AT3G14230	RAP2.2
M00719	Solyc03g123500.4	GCC box binding protein C.4	AP2	AT3G14230	RAP2.2
M00719	Solyc10g009110.1	ethylene response factor F.5	AP2	AT3G15210	ATERF-4
M00719	Solyc09g075420.3	ethylene response factor E.1	AP2	AT2G47520	AtERF71
M00719	Solyc01g065980.4	Ethylene Response Factor E.4	AP2	AT3G16770	ATEBP
M00719	Solyc01g090300.2	Ethylene-responsive transcription factor 2 (AHRD V3.3 *** A0A2G3DF02_CAPCH)	AP2	AT2G44840	ATERF13
M00719	Solyc01g090370.3	Ethylene-responsive transcription factor 13 (AHRD V3.3 *** A0A2G2XN61_CAPBA)	AP2	AT2G44840	ATERF13
M00719	Solyc01g108240.3	Ethylene Response Factor D.3	AP2	AT4G34410	RRTF1
M00719	Solyc02g077360.1	Ethylene Response Factor B.2	AP2	AT4G18450	AT4G18450
M00719	Solyc02g077370.1	Ethylene Response Factor  C.5	AP2	AT3G23240	ATERF1
M00719	Solyc02g090800.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3D8S0_CAPCH)	AP2	AT5G50080	ERF110
M00719	Solyc03g005500.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8GJ51_CAPAN)	AP2	AT1G04370	ATERF14
M00719	Solyc03g006320.1	Ethylene-responsive transcription factor 4 (AHRD V3.3 *-* A0A2G2VSG2_CAPBA)	AP2	AT3G15210	ATERF-4
M00719	Solyc03g007460.3	Solanum lycopersicum Cytokinin Response Factor 4	AP2	AT4G27950	CRF4
M00719	Solyc03g093540.1	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** ERF5_TOBAC)	AP2	AT5G51190	AT5G51190
M00719	Solyc03g093550.1	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** A0A2G3CVP7_CAPCH)	AP2	AT5G51190	AT5G51190
M00719	Solyc03g093560.1	ethylene response factor C.6	AP2	AT5G51190	AT5G51190
M00719	Solyc03g093610.1	ethylene response factor A.2	AP2	AT4G17500	ATERF-1
M00719	Solyc04g012050.3	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2XAK1_CAPBA)	AP2	AT5G64750	ABR1
M00719	Solyc04g071770.3	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8GDL3_CAPAN)	AP2	AT5G50080	ERF110
M00719	Solyc05g013540.1	LEAFLESS	AP2	AT1G24590	DRN-LIKE
M00719	Solyc05g052030.1	ethylene response factor 4	AP2	AT5G07580	AT5G07580
M00719	Solyc05g052040.1	ripening regulated protein DDTFR10/A	AP2	AT5G51190	AT5G51190
M00719	Solyc05g052050.1	DNA-binding protein Pti4	AP2	AT4G17500	ATERF-1
M00719	Solyc06g051840.1	Solanum lycopersicum Cytokinin Response Factor 6	AP2	AT4G27950	CRF4
M00719	Solyc06g063070.3	Ethylene Response Factor  A.3	AP2	AT1G53910	RAP2.12
M00719	Solyc06g068830.2	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8HB76_CAPAN)	AP2	AT5G61890	AT5G61890
M00719	Solyc06g082590.1	DNA-binding protein Pti6	AP2	AT4G27950	CRF4
M00719	Solyc07g049490.3	Ethylene Response Factor F.3	AP2	AT3G20310	ATERF-7
M00719	Solyc07g053740.1	Ethylene Response Factor F.4	AP2	AT3G15210	ATERF-4
M00719	Solyc08g007230.3	Ethylene-responsive transcription factor 2 (AHRD V3.3 *** A0A2G3DC56_CAPCH)	AP2	AT4G17500	ATERF-1
M00719	Solyc08g078190.2	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** A0A2G2XL45_CAPBA)	AP2	AT5G47230	ATERF-5
M00719	Solyc08g081960.3	Solanum Lycopersicum Cytokinin Response Factor 2	AP2	AT4G23750	CRF2
M00719	Solyc09g089910.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A1U8GJ51_CAPAN)	AP2	AT5G43410	AT5G43410
M00719	Solyc09g089920.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2W1A3_CAPBA)	AP2	AT3G23230	AtERF98
M00719	Solyc11g006050.1	Ethylene-responsive transcription factor (AHRD V3.3 *** F1DGA5_COFAR)	AP2	AT3G23240	ATERF1
M00719	Solyc12g049560.2	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2ZB67_CAPAN)	AP2	AT3G14230	RAP2.2
M00719	Solyc12g056590.2	Ethylene Response Factor D.2	AP2	AT5G50080	ERF110
M00720	Solyc01g065980.4	Ethylene Response Factor E.4	AP2	AT3G16770	ATEBP
M00720	Solyc01g090300.2	Ethylene-responsive transcription factor 2 (AHRD V3.3 *** A0A2G3DF02_CAPCH)	AP2	AT2G44840	ATERF13
M00720	Solyc01g090310.3	Ethylene-responsive transcription factor 13 (AHRD V3.3 *** A0A2G2XMR4_CAPBA)	AP2	AT2G44840	ATERF13
M00720	Solyc01g090370.3	Ethylene-responsive transcription factor 13 (AHRD V3.3 *** A0A2G2XN61_CAPBA)	AP2	AT2G44840	ATERF13
M00720	Solyc01g108240.3	Ethylene Response Factor D.3	AP2	AT4G34410	RRTF1
M00720	Solyc02g077360.1	Ethylene Response Factor B.2	AP2	AT4G18450	AT4G18450
M00720	Solyc02g077370.1	Ethylene Response Factor  C.5	AP2	AT3G23240	ATERF1
M00720	Solyc02g090770.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3A6X8_CAPAN)	AP2	AT5G50080	ERF110
M00720	Solyc02g090790.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3D8S0_CAPCH)	AP2	AT4G34410	RRTF1
M00720	Solyc02g090800.1	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3D8S0_CAPCH)	AP2	AT5G50080	ERF110
M00720	Solyc03g005520.1	Ethylene-responsive transcription factor 1B (AHRD V3.3 *** A0A2G2WWE4_CAPBA)	AP2	AT3G23240	ATERF1
M00720	Solyc03g007460.3	Solanum lycopersicum Cytokinin Response Factor 4	AP2	AT4G27950	CRF4
M00720	Solyc03g093540.1	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** ERF5_TOBAC)	AP2	AT5G51190	AT5G51190
M00720	Solyc03g093550.1	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** A0A2G3CVP7_CAPCH)	AP2	AT5G51190	AT5G51190
M00720	Solyc03g093560.1	ethylene response factor C.6	AP2	AT5G51190	AT5G51190
M00720	Solyc03g093610.1	ethylene response factor A.2	AP2	AT4G17500	ATERF-1
